Title,Cast
Creature from the Black Lagoon,"Richard Carlson, Julie Adams, Richard Denning, Antonio Moreno"
Motherless Brooklyn,"Edward Norton, Gugu Mbatha-Raw, Alec Baldwin, Willem Dafoe"
"Suddenly, Last Summer","Elizabeth Taylor, Katharine Hepburn, Montgomery Clift, Albert Dekker"
Dèmoni,"Urbano Barberini, Natasha Hovey, Karl Zinny, Fiore Argento"
Brüno,"Sacha Baron Cohen, Gustaf Hammarsten, Clifford Bañagale, Chibundu Orukwowu"
Bin-jip,"Lee Seung-yun, Jae Hee, Hyuk-ho Kwon, Joo Jin-mo"
There's Someone Inside Your House,"Sydney Park, Théodore Pellerin, Asjha Cooper, Dale Whibley"
"Good Night, and Good Luck.","David Strathairn, George Clooney, Patricia Clarkson, Jeff Daniels"
Judy,"Renée Zellweger, Jessie Buckley, Finn Wittrock, Rufus Sewell"
Mac and Me,"Christine Ebersole, Jonathan Ward, Tina Caspary, Lauren Stanley"
Love in the Time of Cholera,"Javier Bardem, Giovanna Mezzogiorno, Benjamin Bratt, Gina Bernard Forbes"
The Animal,"Rob Schneider, Colleen Haskell, John C. McGinley, Edward Asner"
The Lords of Salem,"Sheri Moon Zombie, Meg Foster, Bruce Davison, Jeff Daniel Phillips"
Torque,"Martin Henderson, Ice Cube, Monet Mazur, John Ashker"
W.,"Josh Brolin, Elizabeth Banks, Ioan Gruffudd, Colin Hanks"
That Awkward Moment,"Zac Efron, Michael B. Jordan, Miles Teller, Imogen Poots"
"Honey, I Blew Up the Kid","Rick Moranis, Marcia Strassman, Robert Oliveri, Daniel Shalikar"
In Secret,"Elizabeth Olsen, Tom Felton, Jessica Lange, Oscar Isaac"
Hide and Seek,"Robert De Niro, Dakota Fanning, Famke Janssen, Elisabeth Shue"
Suburbicon,"Matt Damon, Julianne Moore, Oscar Isaac, Noah Jupe"
The Secret Garden,"Dixie Egerickx, Richard Hansell, David Verrey, Tommy Gene Surridge"
La double vie de Véronique,"Irène Jacob, Wladyslaw Kowalski, Halina Gryglaszewska, Kalina Jedrusik"
Eye of the Needle,"Donald Sutherland, Kate Nelligan, Stephen MacKenna, Philip Martin Brown"
Frankie and Johnny,"Al Pacino, Michelle Pfeiffer, Hector Elizondo, Nathan Lane"
Max,"Thomas Haden Church, Josh Wiggins, Luke Kleintank, Lauren Graham"
Center Stage,"Amanda Schull, Ethan Stiefel, Sascha Radetsky, Christine Dunham"
Bad News Bears,"Billy Bob Thornton, Greg Kinnear, Marcia Gay Harden, Sammi Kane Kraft"
Out for Justice,"Steven Seagal, William Forsythe, Jerry Orbach, Jo Champa"
The Night Comes for Us,"Joe Taslim, Iko Uwais, Julie Estelle, Hannah Al Rashid"
Gotti,"John Travolta, Spencer Rocco Lofranco, Kelly Preston, Stacy Keach"
Le petit prince,"Jeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard"
"Men, Women & Children","Kaitlyn Dever, Rosemarie DeWitt, Ansel Elgort, Jennifer Garner"
Pathfinder,"Karl Urban, Clancy Brown, Moon Bloodgood, Russell Means"
The Hurricane,"Denzel Washington, Vicellous Shannon, Deborah Kara Unger, Liev Schreiber"
Velvet Goldmine,"Ewan McGregor, Jonathan Rhys Meyers, Christian Bale, Toni Collette"
The Last Full Measure,"Sebastian Stan, Alison Sudol, Asher Miles Fallica, LisaGay Hamilton"
The Green Hornet,"Seth Rogen, Jay Chou, Christoph Waltz, Cameron Diaz"
The Blob,"Russell S. Doughten Jr., Steve McQueen, Aneta Corsaut, Earl Rowe, Olin Howland"
Blue Thunder,"Roy Scheider, Warren Oates, Candy Clark, Daniel Stern"
The Last Thing He Wanted,"Anne Hathaway, Ben Affleck, Rosie Perez, Willem Dafoe"
Work It,"Keiynan Lonsdale, Liza Koshy, Briana Andrade-Gomes, Kalliane Brémault"
Hot Tub Time Machine 2,"Rob Corddry, Craig Robinson, Clark Duke, Adam Scott"
Big Time Adolescence,"Griffin Gluck, Larry John Meyers, Michael Devine, John Villanueva"
The Final Conflict,"Sam Neill, Rossano Brazzi, Don Gordon, Lisa Harrow"
Lean on Me,"Morgan Freeman, Beverly Todd, Robert Guillaume, Alan North"
Pathology,"Alyssa Milano, Milo Ventimiglia, Keir O'Donnell, Michael Weston"
Shall We Dance?,"Richard Gere, Jennifer Lopez, Susan Sarandon, Stanley Tucci"
The Program,"James Caan, Halle Berry, Omar Epps, Craig Sheffer"
ATL,"Tip 'T.I.' Harris, Lauren London, Evan Ross, Greg Andrews"
Agent Cody Banks,"Frankie Muniz, Hilary Duff, Andrew Francis, Angie Harmon"
Shi mian mai fu,"Ziyi Zhang, Takeshi Kaneshiro, Andy Lau, Dandan Song"
Reign Over Me,"Adam Sandler, Don Cheadle, Jada Pinkett Smith, Liv Tyler"
Cirque du Freak: The Vampire's Assistant,"Chris Massoglia, John C. Reilly, Salma Hayek, Josh Hutcherson"
The Hunted,"Tommy Lee Jones, Benicio Del Toro, Connie Nielsen, Leslie Stefanson"
1492: Conquest of Paradise,"Gérard Depardieu, Armand Assante, Sigourney Weaver, Loren Dean"
Mindhunters,"Val Kilmer, LL Cool J, Christian Slater, Eion Bailey"
Bean,"Rowan Atkinson, Peter MacNicol, John Mills, Pamela Reed"
The Kids Are All Right,"Annette Bening, Julianne Moore, Mark Ruffalo, Mia Wasikowska"
The Other Side of the Door,"Sarah Wayne Callies, Jeremy Sisto, Sofia Rosinsky, Logan Creran"
Night on Earth,"Winona Ryder, Gena Rowlands, Lisanne Falk, Alan Randolph Scott"
They Came Together,"Paul Rudd, Amy Poehler, Bill Hader, Cobie Smulders"
A Man for All Seasons,"Paul Scofield, Wendy Hiller, Robert Shaw, Leo McKern"
The Baby-Sitters Club,"Schuyler Fisk, Bre Blair, Rachael Leigh Cook, Larisa Oleynik"
Minamata,"Akiko Iwase, Kogarashi Wakasugi, Johnny Depp, Katherine Jenkins"
The Family Stone,"Dermot Mulroney, Sarah Jessica Parker, Claire Danes, Diane Keaton"
Soul Plane,"Dwayne Adway, Snoop Dogg, Tom Arnold, Kevin Hart"
Elizabethtown,"Orlando Bloom, Kirsten Dunst, Susan Sarandon, Alec Baldwin"
Happiest Season,"Kristen Stewart, Mackenzie Davis, Mary Steenburgen, Victor Garber"
True History of the Kelly Gang,"George MacKay, Essie Davis, Nicholas Hoult, Ben Corbett"
When in Rome,"Kristen Bell, Josh Duhamel, Anjelica Huston, Danny DeVito"
Evelyn,"Pierce Brosnan, Julianna Margulies, Aidan Quinn, Sophie Vavasseur"
Man of the House,"Tommy Lee Jones, Christina Milian, Kelli Garner, Cedric The Entertainer"
Resurrection,"Rebecca Hall, Tim Roth, Grace Kaufman, Michael Esper"
Looney Tunes: Back in Action,"Eric Goldberg, Brendan Fraser, Jenna Elfman, Steve Martin, Heather Locklear"
The People We Hate at the Wedding,"Allison Janney, Ben Platt, Cynthia Addai-Robinson, Kristen Bell"
Kodachrome,"Ed Harris, Jason Sudeikis, Elizabeth Olsen, Bruce Greenwood"
Lock Up,"Sylvester Stallone, Donald Sutherland, John Amos, Sonny Landham"
An American Werewolf in Paris,"Tom Everett Scott, Julie Delpy, Vince Vieluf, Phil Buckman"
Café Society,"Jesse Eisenberg, Kristen Stewart, Steve Carell, Blake Lively"
Concussion,"Will Smith, Alec Baldwin, Albert Brooks, David Morse"
Hedwig and the Angry Inch,"John Cameron Mitchell, Miriam Shor, Stephen Trask, Theodore Liscinski"
Attack the Block,"John Boyega, Jodie Whittaker, Alex Esmail, Leeon Jones"
We Are Your Friends,"Zac Efron, Wes Bentley, Emily Ratajkowski, Jonny Weston"
The November Man,"Pierce Brosnan, Luke Bracey, Olga Kurylenko, Bill Smitrovich"
"Yours, Mine & Ours","Dennis Quaid, Rene Russo, Jerry O'Connell, Sean Faris"
On Chesil Beach,"Billy Howle, Saoirse Ronan, Andy Burse, Rasmus Hardiker"
The Starling Girl,"Eliza Scanlen, Lewis Pullman, Jimmi Simpson, Wrenn Schmidt"
The Monk and the Gun,"Tandin Wangchuk, Tandin Phubz, Kelsang Choejay, Tandin Sonam"
Spice World,"Mel B, Emma Bunton, Melanie C, Geri Horner"
Premonition,"Sandra Bullock, Julian McMahon, Amber Valletta, Shyann McClure"
On the Road,"Sam Riley, Garrett Hedlund, Kristen Stewart, Amy Adams"
The Net,"Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker"
Giù la testa,"Rod Steiger, James Coburn, Romolo Valli, Maria Monti"
The 33,"Antonio Banderas, Rodrigo Santoro, Juliette Binoche, James Brolin"
The Cold Light of Day,"Henry Cavill, Bruce Willis, Sigourney Weaver, Verónica Echegui"
The Love Guru,"Mike Myers, Jessica Alba, Romany Malco, Jessica Simpson"
Freaky Friday,"Barbara Harris, Jodie Foster, John Astin, Patsy Kelly"
Il racconto dei racconti - Tale of Tales,"Salma Hayek, Vincent Cassel, Toby Jones, John C. Reilly"
Frantic,"Harrison Ford, Betty Buckley, Emmanuelle Seigner, Djiby Soumare"
Harold & Kumar Escape from Guantanamo Bay,"Hayden Schlossberg, John Cho, Kal Penn, Neil Patrick Harris, Rob Corddry"
Diarios de motocicleta,"Gael García Bernal, Rodrigo de la Serna, Mía Maestro, Mercedes Morán"
The Horse Whisperer,"Robert Redford, Kristin Scott Thomas, Sam Neill, Dianne Wiest"
Quasi,"Brian Cox, Steve Lemme, Jay Chandrasekhar, Kevin Heffernan"
The Heart Is Deceitful Above All Things,"Asia Argento, Dylan Sprouse, Cole Sprouse, Jimmy Bennett"
Tenebre,"Anthony Franciosa, Giuliano Gemma, John Saxon, Daria Nicolodi"
Clown,"Andy Powers, Laura Allen, Peter Stormare, Christian Distefano"
My Father the Hero,"Gérard Depardieu, Katherine Heigl, Dalton James, Lauren Hutton"
Cell,"John Cusack, Samuel L. Jackson, Isabelle Fuhrman, Clark Sarullo"
Return of the Living Dead III,"J. Trevor Edmond, Melinda Clarke, Kent McCord, James T. Callahan"
D.E.B.S.,"Sara Foster, Jordana Brewster, Devon Aoki, Jill Ritchie"
Every Day,"Angourie Rice, Justice Smith, Debby Ryan, Jeni Ross"
To Have and Have Not,"Humphrey Bogart, Lauren Bacall, Walter Brennan, Dolores Moran"
Belle,"Gugu Mbatha-Raw, Matthew Goode, Emily Watson, Miranda Richardson"
Belly,"Nas, DMX, Taral Hicks, Tionne 'T-Boz' Watkins"
Tom and Jerry,"Chloë Grace Moretz, Michael Peña, Colin Jost, Tom"
Tides,"Nora Arnezeder, Iain Glen, Sarah-Sofie Boussnina, Sope Dirisu"
"Everything, Everything","Amandla Stenberg, Nick Robinson, Anika Noni Rose, Ana de la Reguera"
Rollerball,"Chris Klein, Jean Reno, LL Cool J, Rebecca Romijn"
Daylight,"Sylvester Stallone, Amy Brenneman, Viggo Mortensen, Dan Hedaya"
Hold the Dark,"Jeffrey Wright, Alexander Skarsgård, James Badge Dale, Riley Keough"
Billy Jack,"Tom Laughlin, Delores Taylor, Clark Howat, Victor Izay"
The Card Counter,"Oscar Isaac, Tiffany Haddish, Tye Sheridan, Willem Dafoe"
Dead for a Dollar,"Christoph Waltz, Willem Dafoe, Rachel Brosnahan, Warren Burke"
Year of the Dragon,"Mickey Rourke, John Lone, Ariane, Leonard Termo"
Rumor Has It...,"Jennifer Aniston, Mark Ruffalo, Shirley MacLaine, Kevin Costner"
Wicker Park,"Josh Hartnett, Diane Kruger, Matthew Lillard, Rose Byrne"
Bad Santa,"Billy Bob Thornton, Bernie Mac, Lauren Graham, John Ritter"
Rings,"Matilda Anna Ingrid Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio"
Halloween II,"Scout Taylor-Compton, Tyler Mane, Malcolm McDowell, Sheri Moon Zombie"
Sunshine Cleaning,"Amy Adams, Emily Blunt, Alan Arkin, Jason Spevack"
Last Knights,"Clive Owen, Morgan Freeman, Aksel Hennie, Payman Maadi"
The Nanny Diaries,"Robert Pulcini, Scarlett Johansson, Laura Linney, Paul Giamatti, Donna Murphy"
In & Out,"Kevin Kline, Joan Cusack, Tom Selleck, Matt Dillon"
A Thousand and One,"Teyana Taylor, Aaron Kingsley Adetola, Aven Courtney, Josiah Cross"
Dumb and Dumberer: When Harry Met Lloyd,"Derek Richardson, Eric Christian Olsen, Eugene Levy, Timothy Stack"
Thinner,"Robert John Burke, Joe Mantegna, Lucinda Jenney, Bethany Joy Lenz"
Mom and Dad,"Nicolas Cage, Selma Blair, Anne Winters, Zackary Arthur"
The Tuxedo,"Jackie Chan, Jennifer Love Hewitt, Jason Isaacs, Debi Mazar"
Why Did I Get Married?,"Tyler Perry, Janet Jackson, Sharon Leal, Malik Yoba"
How I Live Now,"Saoirse Ronan, Tom Holland, George MacKay, Harley Bird"
Music,"Kate Hudson, Leslie Odom Jr., Maddie Ziegler, Mary Kay Place"
The Watch,"Ben Stiller, Vince Vaughn, Jonah Hill, Billy Crudup"
Passengers,"Anne Hathaway, Patrick Wilson, David Morse, Andre Braugher"
Blues Brothers 2000,"Dan Aykroyd, John Goodman, Walter Levine, Tom Davis"
Trial by Fire,"Jack O'Connell, Laura Dern, Emily Meade, Chris Coy"
Dirty Work,"Norm MacDonald, Jack Warden, Artie Lange, Traylor Howard"
Trumbo,"Bryan Cranston, Diane Lane, Helen Mirren, Louis C.K."
Lost and Delirious,"Piper Perabo, Jessica Paré, Mischa Barton, Jackie Burroughs"
Poltergeist III,"Heather O'Rourke, Tom Skerritt, Nancy Allen, Zelda Rubinstein"
Nanny McPhee and the Big Bang,"Emma Thompson, Maggie Gyllenhaal, Ralph Fiennes, Oscar Steer"
Grind,"Adam Brody, Joey Kern, Mike Vogel, Vince Vieluf"
The Smurfs 2,"Neil Patrick Harris, Jayma Mays, Katy Perry, Hank Azaria"
Trolljegeren,"Otto Jespersen, Robert Stoltenberg, Knut Nærum, Glenn Erland Tosterud"
Lakewood,"Naomi Watts, Colton Gobbo, Andrew Chown, Sierra Maltby"
Dangerous,"Scott Eastwood, Kevin Durand, Famke Janssen, Tyrese Gibson"
Vampire Hunter D: Bloodlust,"Andrew Philpot, John Rafter Lee, Pamela Adlon, Wendee Lee"
Cursed,"Christina Ricci, Jesse Eisenberg, Portia de Rossi, Mya"
Survivor,"Milla Jovovich, Pierce Brosnan, Dylan McDermott, Paddy Wallace"
Lockout,"Steve Saint Leger, Guy Pearce, Maggie Grace, Peter Stormare, Vincent Regan"
Gekijôban Poketto Monsutâ: Myûtsû no Gyakushû,"Veronica Taylor, Rachael Lillis, Eric Stuart, Rica Matsumoto"
Unleashed,"Jet Li, Bob Hoskins, Morgan Freeman, Kerry Condon"
Tulip Fever,"Alicia Vikander, Dane DeHaan, Jack O'Connell, Holliday Grainger"
Kill Your Darlings,"Daniel Radcliffe, Dane DeHaan, Michael C. Hall, Ben Foster"
Someone Great,"Gina Rodriguez, LaKeith Stanfield, Brittany Snow, DeWanda Wise"
Dream a Little Dream,"Corey Feldman, Jason Robards, Corey Haim, Piper Laurie"
Turner & Hooch,"Tom Hanks, Mare Winningham, Craig T. Nelson, Reginald VelJohnson"
Don't Let Go,"David Oyelowo, Storm Reid, Mykelti Williamson, Alfred Molina"
Collateral Beauty,"Will Smith, Edward Norton, Kate Winslet, Michael Peña"
Blue Streak,"Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle"
The Hudsucker Proxy,"Ethan Coen, Tim Robbins, Paul Newman, Jennifer Jason Leigh, Charles Durning"
Air America,"Mel Gibson, Robert Downey Jr., Nancy Travis, Ken Jenkins"
Upside Down,"Jim Sturgess, Kirsten Dunst, Timothy Spall, Blu Mankuma"
Austenland,"Keri Russell, JJ Feild, Jennifer Coolidge, Bret McKenzie"
Alex Cross,"Tyler Perry, Matthew Fox, Rachel Nichols, Edward Burns"
American Pastoral,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert"
When We First Met,"Adam Devine, Alexandra Daddario, Shelley Hennig, Andrew Bachelor"
Game of Death,"Bruce Lee, Bruce Lee, Gig Young, Dean Jagger, Hugh O'Brian"
Muppets Most Wanted,"Ricky Gervais, Ty Burrell, Tina Fey, Steve Whitmire"
Gangs of Wasseypur,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha"
Labor Day,"Kate Winslet, Josh Brolin, Gattlin Griffith, Clark Gregg"
The Art of Self-Defense,"Jesse Eisenberg, Alessandro Nivola, Imogen Poots, Steve Terada"
Glory Road,"Josh Lucas, Derek Luke, Austin Nichols, Jon Voight"
Wonder Wheel,"Justin Timberlake, Juno Temple, Robert C. Kirk, Kate Winslet"
The Brave One,"Jodie Foster, Terrence Howard, Naveen Andrews, Nicky Katt"
Green Zone,"Matt Damon, Jason Isaacs, Greg Kinnear, Igal Naor"
A Week Away,"Kevin Quinn, Bailee Madison, Jahbril Cook, Kat Conner Sterling"
Nurse 3-D,"Paz de la Huerta, Katrina Bowden, Judd Nelson, Corbin Bleu"
Orlando,"Tilda Swinton, Billy Zane, Quentin Crisp, Jimmy Somerville"
Whatever It Takes,"Shane West, Marla Sokoloff, Jodi Lyn O'Keefe, Manu Intiraymi"
Falling,"Viggo Mortensen, Lance Henriksen, Laura Linney, Terry Chen"
Werewolves Within,"Sam Richardson, Milana Vayntrub, George Basil, Sarah Burns"
The Spy Next Door,"Jackie Chan, Amber Valletta, Billy Ray Cyrus, Madeline Carroll"
A Little Chaos,"Kate Winslet, Alan Rickman, Stanley Tucci, Matthias Schoenaerts"
Cellular,"Kim Basinger, Chris Evans, Jason Statham, William H. Macy"
The Mirror Crack'd,"Angela Lansbury, Tony Curtis, Rock Hudson, Geraldine Chaplin"
Welcome Home,"Emily Ratajkowski, Aaron Paul, Riccardo Scamarcio, Katy Louise Saunders"
To the Wonder,"Ben Affleck, Olga Kurylenko, Javier Bardem, Rachel McAdams"
World Trade Center,"Nicolas Cage, Michael Peña, Maria Bello, Maggie Gyllenhaal"
The Beanie Bubble,"Damian Kulash, Zach Galifianakis, Elizabeth Banks, Sarah Snook, Geraldine Viswanathan"
Benny & Joon,"Johnny Depp, Mary Stuart Masterson, Aidan Quinn, Julianne Moore"
Dickie Roberts: Former Child Star,"David Spade, Mary McCormack, Alyssa Milano, Craig Bierko"
Mary Shelley,"Elle Fanning, Bel Powley, Owen Richards, Joanne Froggatt"
The Skeleton Twins,"Kristen Wiig, Bill Hader, Luke Wilson, Ty Burrell"
"Mystery, Alaska","Russell Crowe, Burt Reynolds, Hank Azaria, Mary McCormack"
Down Low,"Zachary Quinto, Lukas Gage, Judith Light, Simon Rex"
Baby Geniuses,"Kathleen Turner, Christopher Lloyd, Kim Cattrall, Peter MacNicol"
Dope,"Shameik Moore, Tony Revolori, Kiersey Clemons, Kimberly Elise"
Showing Up,"Michelle Williams, Hong Chau, André 3000, Todd-o-Phonic Todd"
Ju-on,"Megumi Okina, Misaki Itô, Misa Uehara, Yui Ichikawa"
The Salvation,"Mads Mikkelsen, Eva Green, Jeffrey Dean Morgan, Eric Cantona"
Astro Boy,"Freddie Highmore, Nicolas Cage, Kristen Bell, Charlize Theron"
Yoga Hosers,"Lily-Rose Depp, Harley Quinn Smith, Johnny Depp, Adam Brody"
Paid in Full,"Mekhi Phifer, Wood Harris, Chi McBride, Kevin Carroll"
Romeo Must Die,"Jet Li, Aaliyah, Isaiah Washington, Russell Wong"
House of Wax,"Vincent Price, Frank Lovejoy, Phyllis Kirk, Carolyn Jones"
Black Death,"Eddie Redmayne, Sean Bean, Carice van Houten, Kimberley Nixon"
Caché,"Daniel Auteuil, Juliette Binoche, Maurice Bénichou, Annie Girardot"
Shelter,"Trevor Wright, Brad Rowe, Tina Holmes, Jackson Wurth"
Exit Wounds,"Steven Seagal, DMX, Isaiah Washington, Anthony Anderson"
The Riot Club,"Sam Claflin, Max Irons, Douglas Booth, Jessica Brown Findlay"
White Palace,"Susan Sarandon, James Spader, Jason Alexander, Kathy Bates"
Tender Mercies,"Robert Duvall, Tess Harper, Betty Buckley, Wilford Brimley"
Jin ling shi san chai,"Christian Bale, Ni Ni, Xinyi Zhang, Tianyuan Huang"
Danny Collins,"Al Pacino, Annette Bening, Jennifer Garner, Bobby Cannavale"
Tooth Fairy,"Dwayne Johnson, Ashley Judd, Julie Andrews, Stephen Merchant"
Frankenweenie,"Winona Ryder, Catherine O'Hara, Martin Short, Martin Landau"
Marvin's Room,"Meryl Streep, Leonardo DiCaprio, Diane Keaton, Robert De Niro"
Assassination Nation,"Odessa Young, Abra, Suki Waterhouse, Hari Nef"
Finding You,"Rose Reid, Jedidiah Goodacre, Katherine McNamara, Patrick Bergin"
Dare mo shiranai,"Yûya Yagira, Ayu Kitaura, Hiei Kimura, Momoko Shimizu"
PCU,"Jeremy Piven, Chris Young, Megan Ward, Jon Favreau"
Sea of Love,"Al Pacino, Ellen Barkin, John Goodman, Michael Rooker"
Irresistible,"Steve Carell, Rose Byrne, Chris Cooper, Brent Sexton"
Nowhere,"James Duval, Rachel True, Nathan Bexton, Chiara Mastroianni"
The Neverending Story II: The Next Chapter,"Jonathan Brandis, Kenny Morrison, Clarissa Burt, John Wesley Shipp"
Our Kind of Traitor,"Carlos Acosta, Radivoje Bukvic, Stellan Skarsgård, Mariya Fomina"
The Immaculate Room,"Emile Hirsch, Kate Bosworth, Ashley Greene, M. Emmet Walsh"
Hatchet,"Kane Hodder, Joel David Moore, Deon Richmond, Amara Zaragoza"
Berlin Syndrome,"Teresa Palmer, Max Riemelt, Matthias Habich, Emma Bading"
Shark Night 3D,"Sara Paxton, Dustin Milligan, Chris Carmack, Katharine McPhee"
Southbound,"Matt Bettinelli-Olpin, David Bruckner, Tyler Gillett, Patrick Horvath, Justin Martinez, Radio Silence, Chad Villella, Chad Villella, Matt Bettinelli-Olpin, Kristina Pesic, Fabianne Therese"
Happy Death Day 2 U,"Jessica Rothe, Israel Broussard, Phi Vu, Suraj Sharma"
Velvet Buzzsaw,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Tom Sturridge"
Mighty Aphrodite,"Woody Allen, Mira Sorvino, Pamela Blair, Rene Ceballos"
House at the End of the Street,"Jennifer Lawrence, Elisabeth Shue, Max Thieriot, Gil Bellows"
Home on the Range,"John Sanford, Judi Dench, Cuba Gooding Jr., Jennifer Tilly, Randy Quaid"
For Love of the Game,"Kevin Costner, Kelly Preston, John C. Reilly, Jena Malone"
Heaven Can Wait,"Buck Henry, Warren Beatty, James Mason, Julie Christie, Jack Warden"
2 Days in the Valley,"Teri Hatcher, Jeff Daniels, Danny Aiello, Charlize Theron"
The Switch,"Will Speck, Jennifer Aniston, Jason Bateman, Patrick Wilson, Jeff Goldblum"
Control,"Sam Riley, Samantha Morton, Craig Parkinson, Alexandra Maria Lara"
A Little White Lie,"Michael Shannon, Kate Hudson, Don Johnson, Peyton List"
Idioterne,"Bodil Jørgensen, Jens Albinus, Anne Louise Hassing, Troels Lyby"
Dracula,"Peter Cushing, Christopher Lee, Michael Gough, Melissa Stribling"
Kneecap,"Móglaí Bap, Mo Chara, DJ Próvai, Josie Walker"
A Million Little Pieces,"Aaron Taylor-Johnson, Billy Bob Thornton, Odessa Young, Giovanni Ribisi"
Monster-in-Law,"Jennifer Lopez, Michael Vartan, Jane Fonda, Wanda Sykes"
The Painted Veil,"Naomi Watts, Edward Norton, Liev Schreiber, Catherine An"
Robin and Marian,"Sean Connery, Audrey Hepburn, Robert Shaw, Richard Harris"
The Sweet Hereafter,"Ian Holm, Sarah Polley, Caerthan Banks, Tom McCamus"
The Last Castle,"Robert Redford, James Gandolfini, Mark Ruffalo, Steve Burton"
Night of the Creeps,"Jason Lively, Tom Atkins, Steve Marshall, Jill Whitlow"
The Silent Twins,"Letitia Wright, Tamara Lawrance, Leah Mondesir-Simmonds, Eva-Arianna Baxter"
Dark Crimes,"Jim Carrey, Marton Csokas, Charlotte Gainsbourg, Kati Outinen"
Casanova,"Heath Ledger, Sienna Miller, Jeremy Irons, Oliver Platt"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette"
Moving On,"Jane Fonda, Lily Tomlin, Malcolm McDowell, Richard Roundtree"
Firebird,"Tom Prior, Oleg Zagorodnii, Diana Pozharskaya, Jake Henderson"
The Captive,"Ryan Reynolds, Scott Speedman, Rosario Dawson, Mireille Enos"
Cannonball Run II,"Ralph Bakshi, Burt Reynolds, Dom DeLuise, Dean Martin, Sammy Davis Jr."
Pathaan,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia"
Duplex,"Ben Stiller, Drew Barrymore, Eileen Essell, Harvey Fierstein"
Body Snatchers,"Gabrielle Anwar, Meg Tilly, Terry Kinney, Reilly Murphy"
Bull,"David Nellist, Kevin Harvey, Mark Springer, Neil Maskell"
Black and Blue,"Naomie Harris, Tyrese Gibson, Frank Grillo, Mike Colter"
The Quiet,"Camilla Belle, Elisha Cuthbert, Edie Falco, Martin Donovan"
Welcome to Marwen,"Steve Carell, Falk Hentschel, Matt O'Leary, Nikolai Witschl"
Miss Potter,"Renée Zellweger, Ewan McGregor, Emily Watson, Barbara Flynn"
My Stepmother Is an Alien,"Dan Aykroyd, Kim Basinger, Jon Lovitz, Alyson Hannigan"
Last Holiday,"Queen Latifah, LL Cool J, Timothy Hutton, Giancarlo Esposito"
Z for Zachariah,"Chiwetel Ejiofor, Chris Pine, Margot Robbie"
Finding Forrester,"Sean Connery, Rob Brown, F. Murray Abraham, Anna Paquin"
Take Care of Maya,Maya Kowalski
Byzantium,"Saoirse Ronan, Gemma Arterton, Sam Riley, Caleb Landry Jones"
Basquiat,"Jeffrey Wright, Michael Wincott, Benicio Del Toro, Claire Forlani"
Dear David,"Justin Long, Augustus Prew, Andrea Bang, Sarah Swire"
Bugsy,"Warren Beatty, Annette Bening, Harvey Keitel, Ben Kingsley"
Hustle & Flow,"Terrence Howard, Ludacris, Anthony Anderson, Taryn Manning"
Anna and the King,"Jodie Foster, Chow Yun-Fat, Bai Ling, Tom Felton"
Breakthrough,"Marcel Ruiz, Topher Grace, Sarah Constible, Dennis Haysbert"
Lagaan: Once Upon a Time in India,"Aamir Khan, Raghubir Yadav, Gracy Singh, Rachel Shelley"
The African Queen,"Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull"
Rabid,"Marilyn Chambers, Frank Moore, Terry Schonblum, Joe Silver"
Live by Night,"Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina"
Bad Words,"Jason Bateman, Kathryn Hahn, Allison Janney, Rohan Chand"
Mortdecai,"Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn"
Waiting for Guffman,"Christopher Guest, Fred Willard, Catherine O'Hara, Parker Posey"
Unlawful Entry,"Kurt Russell, Ray Liotta, Madeleine Stowe, Roger E. Mosley"
The Greatest Night in Pop,"Lionel Richie, Harriet Sternberg, Wendy Rees, Harry Belafonte"
Kinky Boots,"Chiwetel Ejiofor, Joel Edgerton, Sarah-Jane Potts, Jemima Rooper"
Saved!,"Jena Malone, Mandy Moore, Macaulay Culkin, Patrick Fugit"
Father of the Bride Part II,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley"
Lost River,"Christina Hendricks, Iain De Caestecker, Matt Smith, Saoirse Ronan"
24 Hour Party People,"Steve Coogan, Lennie James, John Thomson, Paul Popplewell"
The Duellists,"Keith Carradine, Harvey Keitel, Albert Finney, Edward Fox"
One Fine Day,"Michelle Pfeiffer, George Clooney, Mae Whitman, Alex D. Linz"
The Best Little Whorehouse in Texas,"Burt Reynolds, Dolly Parton, Dom DeLuise, Charles Durning"
Get Carter,"Michael Caine, Ian Hendry, Britt Ekland, John Osborne"
The Legend of Hercules,"Kellan Lutz, Gaia Weiss, Scott Adkins, Roxanne McKee"
Sharp Stick,"Kristine Froseth, Jon Bernthal, Luka Sabbat, Scott Speedman"
