Title,Cast
Watchmen,"Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman"
One Life,"Anthony Hopkins, Lena Olin, Johnny Flynn, Helena Bonham Carter"
Heat,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
The Matrix Resurrections,"Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II, Jonathan Groff"
Masterminds,"Zach Galifianakis, Owen Wilson, Kristen Wiig, Ross Kimball"
Le Cinquième Élément,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm"
Saving Private Ryan,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns"
Goodfellas,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco"
The Notebook,"Gena Rowlands, James Garner, Rachel McAdams, Ryan Gosling"
Léon,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
No Country for Old Men,"Joel Coen, Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson"
Steel Magnolias,"Shirley MacLaine, Olympia Dukakis, Sally Field, Julia Roberts"
Ford v Ferrari,"Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe"
The Departed,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
Ordinary Angels,"Hilary Swank, Alan Ritchson, Emily Mitchell, Skywalker Hughes"
Whiplash,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser"
The Big Lebowski,"Ethan Coen, Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi"
Apocalypse Now,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest"
The Usual Suspects,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin"
Mortal Kombat,"Lewis Tan, Jessica McNamee, Josh Lawson, Joe Taslim"
Top Gun,"Tom Cruise, Tim Robbins, Kelly McGillis, Val Kilmer"
Baby Driver,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González"
Spaceman,"Adam Sandler, Carey Mulligan, Paul Dano, Kunal Nayyar"
Braveheart,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen"
Requiem for a Dream,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
Hellboy,"David Harbour, Milla Jovovich, Ian McShane, Sasha Lane"
La La Land,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons"
Twilight,"Kristen Stewart, Robert Pattinson, Billy Burke, Sarah Clarke"
Dead Poets Society,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles"
Star Wars: Episode VIII - The Last Jedi,"Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher"
Mean Girls,"Lindsay Lohan, Jonathan Bennett, Rachel McAdams, Tina Fey"
No Time to Die,"Daniel Craig, Ana de Armas, Rami Malek, Léa Seydoux"
Guardians of the Galaxy Vol. 3,"Chris Pratt, Chukwudi Iwuji, Bradley Cooper, Pom Klementieff"
Gummo,"Nick Sutton, Jacob Sewell, Lara Tosh, Jacob Reynolds"
Men,"Jessie Buckley, Rory Kinnear, Paapa Essiedu, Gayle Rankin"
The Strangers,"Scott Speedman, Liv Tyler, Gemma Ward, Alex Fisher"
