id,title,content,thank_count,customer_id,rating,created_at,customer_name,purchased_at
,Cực kì hài lòng,Sài rất OK.,0,6388650,5,1708360965,Lê Đức Thảo,1707820794
,Cực kì hài lòng,Tốt shop tư vấn rất nhiệt tình,0,12969234,5,1699614914,Quynh anh Nguyên quynh anh,1699263429
,Cực kì hài lòng,Tốt shop tư vấn rất nhiệt tình,0,12969234,5,1699614914,Quynh anh Nguyên quynh anh,1699263429
,Cực kì hài lòng,,0,12587264,5,1708485068,Đạt Nguyễn,1696635896
,Cực kì hài lòng,,0,10715941,5,1704294720,Hạnh Siino,1703814520
,Cực kì hài lòng,,0,12587264,5,1708485068,Đạt Nguyễn,1696635896
,Cực kì hài lòng,,0,10715941,5,1704294720,Hạnh Siino,1703814520
,Cực kì hài lòng,"Sau mấy ngày dùng thử thì tư hỏi tại sao lại bỏ ra hơn 30 triệu mua Iphone 14 promax?
Máy mượt, nhanh và không bị nóng mây tròn khi ip14max của mình mấy lần nóng máy tới mức phải tắt để cho nguội.
U50 rồi nên xét về tiện dụng và chi phí thì máy này quá đủ dùng.
Máy nhẹ, cầm lâu ko mỏi tay, ốp lưng chất và dán màn hình đẹp, sạc đầy đủ. Dịch vụ hơn iphone nhiều nhiều.
Điều chưa thể nói là ko biết độ bền và tính ổn định duy trì được lâu ko thôi.",0,20394486,5,1709221844,Anh Phạm,1709116882
,Cực kì hài lòng,"Được dán cường lực, tặng ốp lưng, máy đi kèm đầy đủ củ sạc và cáp sạc, đóng gói cẩn thận rất ưng. Mọi thứ đều ok",2,6142509,5,1694008465,Nguyễn Thảo Ly,1693933077
,Hài lòng,"Chất lượng tốt. Tuy nhiên lần này mình khá thất vọng với cách gói hàng của tiki gói hàng rất cẩu thả và sơ xài hàng điện tử mà không lớp nylon chống sốc gì hết. Gói hàng mình nhận được bên ngoài móp mép, hộp điện thoại bên trong thì thì cấn một lõm",5,9909532,4,1680090596,Mr Hoàng,1679693392
,Cực kì hài lòng,OK shop hàng nguyên seal chính hãng,0,8081864,5,1697557432,NGHĨA TRẦN ,1697268778
,Cực kì hài lòng,"Quá đẹp, quá hạnh phúc",0,11100627,5,1705463865,Võ Minh Kha,1705399081
,Cực kì hài lòng,Mọi thứ đều ổn với giá 4tr. Giao hàng nhanh,0,26582793,5,1696649009,Đạt Tạ,1693721054
